"","index","study_id","id","author","year","group","group_id","group_desc","url","country","region","city","time_MAX","time_50","time_MIN","detailed_time","exp_dur","fu_dur","age_base","age_SD","days_ps","days_cat","yrs_ps","stroke_type","nihss_base","mmse_base","mMmse_base","fim_base","brunstrom_base","frenchay_base","fac_base","barthel_base","mBarthel_base","motricity_base","BBS_base","BBT_base","gcs_base","MAS_base","sis_base","rivermead_base","ashworth_base","mAshworth_base","rankin_base","bdi_base","cesd_base","OPS_base","terminal_dropout","outcome_name","outcome_extremity","ue_subscale","le_subscale","fma_outcome","speed_outcome","SCOAR_outcome","p_outcome_stated","itt_analysis","base_n","base_m","base_sd","difference_score","term_n","term_m","term_sd","diff_base","diff_term","fu_n","fu_m","fu_sd","est_corr","term_diff","term_s_diff","fu_diff","fu_s_diff","term_d","fu_d","j_corr_factor","term_g","fu_g","term_Vd","fu_Vd","term_Vg","fu_Vg","exp.c","DPS.c","rtDPS","rtDPS.c","time50.c","rtTIME","rtTIME.c","age.c","DUR.c","rtDUR","rtDUR.c"
"388",388,113,"mudge2009","mudge","2009","ctrl",249,"group social and educational classes","http://www.ncbi.nlm.nih.gov/pubmed/19969159","new zealand","","auckland",0,0,0,1,28,90,71,NA,2117,">1year",5.8,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,2,"10mwt SSV","le","","speed","","speed","lohse",0,1,27,0.62,0.27,0,27,0.63,0.25,NA,NA,27,0.63,0.25,0.5,0.01,0.260192237,0.01,0.260192237,0.038433122,0.038433122,0.970873786,0.037313711,0.037313711,0.037064391,0.037064391,0.034936743,0.034936743,-0.5,1503.54620462046,46.0108682813094,25.6654565264102,-29.8059405940594,0,-4.76436792735571,10.0104554455446,-14.0555775577558,5.29150262212918,-0.825679316863087
"389",389,113,"mudge2009","mudge","2009","exp",250,"circuit training","http://www.ncbi.nlm.nih.gov/pubmed/19969159","new zealand","","auckland",12,12,12,1,28,90,76,NA,1215.45,">1year",3.33,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"10mwt SSV","le","","speed","","speed","lohse",0,1,31,0.76,0.3,0,31,0.79,0.28,NA,NA,31,0.77,0.26,0.5,0.03,0.290172363,0.01,0.280713377,0.103386828,0.035623525,0.974789916,0.100780437,0.034725453,0.032430465,0.032278533,0.030815927,0.030671558,0.5,601.996204620462,34.8633044905385,14.5178927356393,-17.8059405940594,3.46410161513775,-1.30026631221795,15.0104554455446,-14.0555775577558,5.29150262212918,-0.825679316863087
"392",392,114,"ng2007","ng","2007","ctrl",251,"no treatment","http://www.ncbi.nlm.nih.gov/pubmed/17901383","china","","hong kong",0,0,0,1,28,56,57.3,NA,1898,">1year",5.2,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"gait speed 4.6m SSV","le","","speed","","speed","lohse",0,0,20,0.63,0.25,0,20,0.64,0.24,NA,NA,20,0.65,0.24,0.5,0.01,0.245051015,0.02,0.245051015,0.040807829,0.081615659,0.96,0.039175516,0.078351032,0.050041632,0.050166528,0.046118368,0.046233472,-0.5,1284.54620462046,43.5660418215839,23.2206300666847,-29.8059405940594,0,-4.76436792735571,-3.68954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"393",393,114,"ng2007","ng","2007","exp",252,"functional electrical stimulation","http://www.ncbi.nlm.nih.gov/pubmed/17901383","china","","hong kong",0,0,0,1,28,56,56.4,NA,2263,">1year",6.2,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,2,"gait speed 4.6m SSV","le","","speed","","speed","lohse",0,0,19,0.55,0.26,0,19,0.63,0.28,NA,NA,19,0.59,0.27,0.5,0.08,0.270185122,0.04,0.265047166,0.296093284,0.150916536,0.957746479,0.2835823,0.144539781,0.054938717,0.053230942,0.050394094,0.048827589,0.5,1649.54620462046,47.5709995690652,27.225587814166,-29.8059405940594,0,-4.76436792735571,-4.58954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"394",394,114,"ng2007","ng","2007","exp",253,"functional electrical stim + task relevant training","http://www.ncbi.nlm.nih.gov/pubmed/17901383","china","","hong kong",20,20,20,1,28,56,58.4,NA,1825,">1year",5,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"gait speed 4.6m SSV","le","","speed","","speed","lohse",0,0,21,0.51,0.28,0,21,0.68,0.34,NA,NA,21,0.72,0.34,0.5,0.17,0.31144823,0.21,0.31144823,0.545837104,0.674269364,0.962025316,0.525109113,0.648664198,0.054712813,0.05844379,0.05063631,0.054089301,0.5,1211.54620462046,42.7200187265877,22.3746069716885,-9.80594059405941,4.47213595499958,-0.292231972356128,-2.58954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"395",395,114,"ng2007","ng","2007","exp",254,"placebo stim + task relevant therapy","http://www.ncbi.nlm.nih.gov/pubmed/17901383","china","","hong kong",20,20,20,1,28,56,57.1,NA,1715.5,">1year",4.7,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,2,"gait speed 4.6m SSV","le","","speed","","speed","lohse",0,0,20,0.49,0.25,0,20,0.58,0.3,NA,NA,20,0.58,0.29,0.5,0.09,0.276134025,0.09,0.270739727,0.325928686,0.332422585,0.96,0.312891538,0.319125681,0.052655738,0.052762619,0.048527528,0.04862603,0.5,1102.04620462046,41.4185948578655,21.0731831029663,-9.80594059405941,4.47213595499958,-0.292231972356128,-3.88954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"396",396,115,"ng2008","ng","2008","ctrl",255,"conventional overground gait training","http://stroke.ahajournals.org/content/39/1/154.short","china","","hong kong",50,50,50,1,28,180,73.4,11.5,17.5,"<90days",0.047945205,1,NA,">21","","","",NA,"<3","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"fim","","","","","","lohse",0,1,21,78.6,8.9,0,21,98.2,14.3,NA,NA,21,102.5,16.5,0.5,19.6,11.91007976,23.9,13.25631925,1.645664881,1.802913731,0.962025316,1.583171278,1.734448653,0.112100307,0.125011855,0.103748017,0.115697561,-0.5,-595.953795379538,4.18330013267038,-16.1621116222288,20.1940594059406,7.07106781186548,2.30669988450977,12.4104554455446,-14.0555775577558,5.29150262212918,-0.825679316863087
"397",397,115,"ng2008","ng","2008","exp",256,"electromechanical gait training","http://stroke.ahajournals.org/content/39/1/154.short","china","","hong kong",50,50,50,1,28,180,66.6,11.3,18.9,"<90days",0.051780822,1,NA,">21","","","",NA,"<3","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"fim","","","","","","lohse",0,1,17,78.6,12,0,17,103.2,17.6,NA,NA,17,107.2,15.1,0.5,24.6,15.06253631,28.6,13.638365,1.633191084,2.097025559,0.952380952,1.55542008,1.997167199,0.137273915,0.188162241,0.124511488,0.170668699,0.5,-594.553795379538,4.34741302385683,-15.9979987310424,20.1940594059406,7.07106781186548,2.30669988450977,5.61045544554455,-14.0555775577558,5.29150262212918,-0.825679316863087
"398",398,115,"ng2008","ng","2008","exp",257,"electromechanical gait training + FES","http://stroke.ahajournals.org/content/39/1/154.short","china","","hong kong",50,50,50,1,28,180,62,10,16.1,"<90days",0.044109589,1,NA,">21","","","",NA,"<3","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"fim","","","","","","lohse",0,1,16,65,16.8,0,16,86.4,20.5,NA,NA,16,94,20.2,0.5,21.4,18.74153142,29,18.57794391,1.141849058,1.560990825,0.949152542,1.083788936,1.48161841,0.103244352,0.138646636,0.093011861,0.124905444,0.5,-597.353795379538,4.01248052954778,-16.3329312253514,20.1940594059406,7.07106781186548,2.30669988450977,1.01045544554456,-14.0555775577558,5.29150262212918,-0.825679316863087
"402",402,116,"nilsson2001","nilsson","2001","ctrl",258,"overground walking training","http://www.ncbi.nlm.nih.gov/pubmed/11594641","sweden","","gothenburg",47.14,47.14,47.14,1,66,280,56,12.1,17,"<90days",0.046575342,1,8,"","","","",NA,"0","",NA,"",23.3,NA,NA,"","",NA,"","","",NA,"",NA,1,"fim","","","","","","lohse",0,0,37,56.1,18,1,36,76.9,NA,1,0,32,81.9,NA,0.5,20.8,18,25.8,18,1.155555556,1.433333333,0.979020979,1.131313131,1.403263403,0.045071738,0.05478979,0.043200453,0.052515032,-0.5,-596.453795379538,4.12310562561766,-16.2223061292815,17.3340594059406,6.86585755750875,2.10148963015304,-4.98954455445544,23.9444224422442,8.12403840463596,2.00685646564369
"403",403,116,"nilsson2001","nilsson","2001","exp",259,"body-weight supported treadmill training","http://www.ncbi.nlm.nih.gov/pubmed/11594641","sweden","","gothenburg",48.57,48.57,48.57,1,68,180,54,12.4,22,"<90days",0.060273973,1,9.5,"","","","",NA,"0","",NA,"",23.9,NA,NA,"","",NA,"","","",NA,"",NA,3,"fim","","","","","","lohse",0,0,36,53.7,17.7,1,33,78.8,NA,1,0,28,80.3,NA,0.5,25.1,17.7,26.6,17.7,1.418079096,1.502824859,0.978417266,1.387473072,1.47038979,0.055707616,0.059145591,0.05332892,0.056620095,0.5,-591.453795379538,4.69041575982343,-15.6549959950758,18.7640594059406,6.96921803361037,2.20485010625466,-6.98954455445544,25.9444224422442,8.24621125123532,2.12902931224305
"408",408,117,"noh2008","noh","2008","ctrl",260,"conventional gait and exercise training","http://cre.sagepub.com/content/22/10-11/966.full.pdf","south korea","","seoul",24,24,24,1,56,NA,66,NA,584,">1year",1.6,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,2,"bbs","le","","balance","","","lohse",1,0,12,42.3,7.3,0,10,44.5,6.7,NA,NA,NA,NA,NA,0.5,2.2,7.036334273,NA,7.3,0.312662803,NA,0.930232558,0.29084912,NA,0.087406585,NA,0.075635768,NA,-0.5,-29.453795379538,24.1660919471891,3.82068019228995,-5.80594059405941,4.89897948556636,0.134611558210648,5.01045544554456,13.9444224422442,7.48331477354788,1.36613283455561
"409",409,117,"noh2008","noh","2008","exp",261,"aquatic exercise therapy","http://cre.sagepub.com/content/22/10-11/966.full.pdf","south korea","","seoul",24,24,24,1,56,NA,61.9,NA,1022,">1year",2.8,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,3,"bbs","le","","balance","","","lohse",1,0,13,43.3,5.2,0,10,50.9,2.8,NA,NA,NA,NA,NA,0.5,7.6,4.337214379,NA,5.2,1.752276769,NA,0.936170213,1.640429316,NA,0.195018226,NA,0.170916834,NA,0.5,408.546204620462,31.9687347262916,11.6233229713924,-5.80594059405941,4.89897948556636,0.134611558210648,0.910455445544557,13.9444224422442,7.48331477354788,1.36613283455561
"410",410,118,"olawale2011","olawale","2011","ctrl",262,"conventional physiotherapy","http://www.ncbi.nlm.nih.gov/pubmed/21427155","nigeria","","lagos",36,36,36,1,84,NA,57.2,5.9,309,"<1year",0.846575342,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,3,"10mwt SSV","le","","speed","","speed","lohse",1,0,20,26.39,11.9,0,20,24.65,10.49,NA,NA,NA,NA,NA,0.5,-1.74,11.21717656,NA,11.9,0.155119249,NA,0.96,0.148914479,NA,0.05060155,NA,0.046634388,NA,-0.5,-304.453795379538,17.5783958312469,-2.76701592365225,6.19405940594059,6,1.23563207264429,-3.78954455445544,41.9444224422442,9.16515138991168,3.04796945091941
"411",411,118,"olawale2011","olawale","2011","exp",263,"CPT + treadmill training","http://www.ncbi.nlm.nih.gov/pubmed/21427155","nigeria","","lagos",51,51,51,1,84,NA,56.8,6.4,306,"<1year",0.838356164,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,2,"10mwt SSV","le","","speed","","speed","lohse",1,0,20,30.56,10.73,0,20,23.83,11.08,NA,NA,NA,NA,NA,0.5,-6.73,10.90640408,NA,10.73,0.617068646,NA,0.96,0.5923859,NA,0.059519343,NA,0.054853026,NA,0.5,-307.453795379538,17.4928556845359,-2.85255607036329,21.1940594059406,7.14142842854285,2.37706050118714,-4.18954455445544,41.9444224422442,9.16515138991168,3.04796945091941
"412",412,118,"olawale2011","olawale","2011","exp",264,"CPT + overground walking","http://www.ncbi.nlm.nih.gov/pubmed/21427155","nigeria","","lagos",51,51,51,1,84,NA,56.8,8.3,321,"<1year",0.879452055,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,2,"10mwt SSV","le","","speed","","speed","lohse",1,0,20,29.3,10.6,0,20,20.03,8.38,NA,NA,NA,NA,NA,0.5,-9.27,9.554695181,NA,10.6,0.970203635,NA,0.96,0.93139549,NA,0.073532377,NA,0.067767439,NA,0.5,-292.453795379538,17.9164728671689,-2.42893888773028,21.1940594059406,7.14142842854285,2.37706050118714,-4.18954455445544,41.9444224422442,9.16515138991168,3.04796945091941
"416",416,119,"olney2006","olney","2006","exp",265,"strength and conditioning training","http://www.ncbi.nlm.nih.gov/pubmed/16410482","canada","ontario","kingston",45,45,45,1,70,365,63.5,NA,1496.5,">1year",4.1,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,3,"6minwt","le","","capacity","","","lohse",1,1,37,0.73,0.36,0,34,0.82,0.38,NA,NA,29,0.78,0.37,0.5,0.09,0.369700231,0.05,0.364408768,0.243440475,0.137208554,0.979020979,0.238333333,0.134330053,0.027827882,0.027281435,0.026672526,0.026148766,0.5,883.046204620462,38.6846222677694,18.3392105128702,15.1940594059406,6.70820393249937,1.94383600514366,2.51045544554456,27.9444224422442,8.36660026534076,2.24941832634849
"417",417,119,"olney2006","olney","2006","exp",266,"one week supervised followed by 9 weeks home training","http://www.ncbi.nlm.nih.gov/pubmed/16410482","canada","ontario","kingston",45,45,45,1,70,365,65.8,NA,1241,">1year",3.4,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,3,"6minwt","le","","capacity","","","lohse",1,1,35,0.76,0.34,0,32,0.87,0.37,NA,NA,25,0.91,0.36,0.5,0.11,0.354624395,0.15,0.348415131,0.310187346,0.430520912,0.977777778,0.303294294,0.420953781,0.029945946,0.031219261,0.028629803,0.029847155,0.5,627.546204620462,35.2278299076171,14.8824181527179,15.1940594059406,6.70820393249937,1.94383600514366,4.81045544554456,27.9444224422442,8.36660026534076,2.24941832634849
"424",424,121,"outermans2010","outermans","2010","ctrl",269,"low intensity physiotherapy program","http://www.ncbi.nlm.nih.gov/pubmed/20719820","netherlands","","utrecht",9,9,9,1,28,NA,56.3,8.6,23.5,"<90days",0.064383562,0,NA,"","","","",NA,"","",NA,"",53.2,NA,NA,"","",NA,"","","",NA,"",NA,6,"10mwt","le","","speed","","speed","lohse",0,1,21,1.4,0.5,0,21,1.4,0.4,NA,NA,NA,NA,NA,0.5,0,0.452769257,NA,0.5,0,NA,0.962025316,0,NA,0.047619048,NA,0.044071081,NA,-0.5,-589.953795379538,4.84767985741633,-15.4977318974829,-20.8059405940594,3,-1.76436792735571,-4.68954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"425",425,121,"outermans2010","outermans","2010","exp",270,"time matched high intensity physiotherapy","http://www.ncbi.nlm.nih.gov/pubmed/20719820","netherlands","","utrecht",9,9,9,1,28,NA,56.8,8.6,22.5,"<90days",0.061643836,0,NA,"","","","",NA,"","",NA,"",53,NA,NA,"","",NA,"","","",NA,"",NA,6,"10mwt","le","","speed","","speed","lohse",0,1,22,1.5,0.5,0,22,1.7,0.5,NA,NA,NA,NA,NA,0.5,0.2,0.5,NA,0.5,0.4,NA,0.963855422,0.385542169,NA,0.049090909,NA,0.045606303,NA,0.5,-590.953795379538,4.74341649025257,-15.6019952646466,-20.8059405940594,3,-1.76436792735571,-4.18954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"428",428,122,"page2004","page","2004","ctrl",271,"no specified physical therapy","http://www.ncbi.nlm.nih.gov/pubmed/14970962","usa","OH","cincinnati",0,0,0,1,70,NA,63.67,NA,1035,">1year",2.835616438,0,NA,"",">70","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","<3","",NA,"",NA,0,"fma-ue","ue","fma","","fma","","lohse",1,0,6,32.55,7.1,0,6,29.7,7.1,NA,NA,NA,NA,NA,0.5,-2.85,7.1,NA,7.1,-0.401408451,NA,0.842105263,-0.338028169,NA,0.180094062,NA,0.127712133,NA,-0.5,421.546204620462,32.1714158842908,11.8260041293916,-29.8059405940594,0,-4.76436792735571,2.68045544554456,27.9444224422442,8.36660026534076,2.24941832634849
"429",429,122,"page2004","page","2004","ctrl",272,"CPT","http://www.ncbi.nlm.nih.gov/pubmed/14970962","usa","OH","cincinnati",30,30,30,1,70,NA,60.75,NA,1140,">1year",3.123287671,0,NA,"",">70","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","<3","",NA,"",NA,0,"fma-ue","ue","fma","","fma","","lohse",1,0,4,29.55,7.2,0,4,35.5,7.2,NA,NA,NA,NA,NA,0.5,5.95,7.2,NA,7.2,0.826388889,NA,0.727272727,0.601010101,NA,0.335364824,NA,0.177383048,NA,-0.5,526.546204620462,33.7638860322683,13.4184742773691,0.194059405940592,5.47722557505166,0.712857647695953,-0.239544554455442,27.9444224422442,8.36660026534076,2.24941832634849
"430",430,122,"page2004","page","2004","exp",273,"modified CIMT","http://www.ncbi.nlm.nih.gov/pubmed/14970962","usa","OH","cincinnati",280,155,30,1,70,NA,55,NA,762.8,">1year",2.089863014,0,NA,"",">70","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"",">3","",NA,"",NA,0,"fma-ue","ue","fma","","fma","","lohse",1,0,7,30.85,7.41,0,7,49.2,7.41,NA,NA,NA,NA,NA,0.5,18.35,7.41,NA,7.41,2.476383266,NA,0.869565217,2.153376753,NA,0.580891006,NA,0.439237055,NA,0.5,149.346204620462,27.6188341535265,7.27342239862727,125.194059405941,12.4498995979887,7.68553167063302,-5.98954455445544,27.9444224422442,8.36660026534076,2.24941832634849
"434",434,123,"page2005","page","2005","ctrl",274,"traditional rehabilitation","http://www.ncbi.nlm.nih.gov/pubmed/15673841","usa","OH","cincinnati",15,15,15,1,70,NA,62.2,NA,4.8,"<90days",0.013150685,1,NA,"",">70","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","<3","",NA,"",NA,0,"fma-ue","ue","fma","","fma","","lohse",1,0,5,35,6.6,0,5,39.4,6.98,NA,NA,NA,NA,NA,0.5,4.4,6.792657801,NA,6.6,0.647758231,NA,0.8,0.518206585,NA,0.241959073,NA,0.154853806,NA,-0.5,-608.653795379538,2.19089023002066,-18.1545215248785,-14.8059405940594,3.87298334620742,-0.891384581148291,1.21045544554456,27.9444224422442,8.36660026534076,2.24941832634849
"436",436,124,"page2008","page","2008","ctrl",276,"no therapy","http://www.ncbi.nlm.nih.gov/pubmed/18174447","usa","OH","cincinnati",0,0,0,1,70,NA,57.9,8.4,1194,">1year",3.271232877,0,NA,"",">69","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","<3","",NA,"",NA,0,"arat","ue","arat","","","","lohse",1,0,10,24.3,14.85,0,10,25.2,16.75,NA,NA,NA,NA,NA,0.5,0.9,15.82853436,NA,14.85,0.056859339,NA,0.914285714,0.051985681,NA,0.100161649,NA,0.083726962,NA,-0.5,580.546204620462,34.554305086342,14.2088933314428,-29.8059405940594,0,-4.76436792735571,-3.08954455445544,27.9444224422442,8.36660026534076,2.24941832634849
"437",437,124,"page2008","page","2008","ctrl",277,"standard care","http://www.ncbi.nlm.nih.gov/pubmed/18174447","usa","OH","cincinnati",15,15,15,1,70,NA,57.9,8.4,1194,">1year",3.271232877,0,NA,"",">69","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","<3","",NA,"",NA,0,"arat","ue","arat","","","","lohse",1,0,12,26.17,9.02,0,12,29.17,10,NA,NA,NA,NA,NA,0.5,3,9.522615187,NA,9.02,0.315039508,NA,0.930232558,0.293060007,NA,0.087468745,NA,0.075689558,NA,-0.5,580.546204620462,34.554305086342,14.2088933314428,-14.8059405940594,3.87298334620742,-0.891384581148291,-3.08954455445544,27.9444224422442,8.36660026534076,2.24941832634849
"438",438,124,"page2008","page","2008","exp",278,"mCIMT","http://www.ncbi.nlm.nih.gov/pubmed/18174447","usa","OH","cincinnati",265,135,15,1,70,NA,57.9,8.4,1194,">1year",3.271232877,0,NA,"",">69","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","<3","",NA,"",NA,0,"arat","ue","arat","","","","lohse",1,0,13,27.71,7.41,0,13,40.54,8.18,NA,NA,NA,NA,NA,0.5,12.83,7.804501906,NA,7.41,1.643922976,NA,0.936170213,1.538991722,NA,0.180864721,NA,0.158512494,NA,0.5,580.546204620462,34.554305086342,14.2088933314428,105.194059405941,11.6189500386223,6.85458211126654,-3.08954455445544,27.9444224422442,8.36660026534076,2.24941832634849
"439",439,125,"pandian2012","pandian","2012","exp",279,"brunnstrom based therapy","http://www.ncbi.nlm.nih.gov/pubmed/22703742","india","","new delhi",12,12,12,1,28,NA,47.4,NA,1016.1,">1year",2.783835616,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"fma-wh","ue","fma","","fma","","lohse",0,0,15,14.67,6.1,0,15,18.47,4.38,NA,NA,NA,NA,NA,0.5,3.8,5.310103577,NA,6.1,0.715616926,NA,0.945454545,0.676583276,NA,0.08373692,NA,0.074851117,NA,0.5,402.646204620462,31.8763235019348,11.5309117470356,-17.8059405940594,3.46410161513775,-1.30026631221795,-13.5895445544554,-14.0555775577558,5.29150262212918,-0.825679316863087
"440",440,125,"pandian2012","pandian","2012","exp",280,"motor relearning programme","http://www.ncbi.nlm.nih.gov/pubmed/22703742","india","","new delhi",12,12,12,1,28,NA,51.67,NA,1088,">1year",2.980821918,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"fma-wh","ue","fma","","fma","","lohse",0,0,15,12.33,3.26,0,15,14.13,3.18,NA,NA,NA,NA,NA,0.5,1.8,3.220248438,NA,3.26,0.558963085,NA,0.945454545,0.528474189,NA,0.077081324,NA,0.068901785,NA,0.5,474.546204620462,32.9848450049413,12.6394332500421,-17.8059405940594,3.46410161513775,-1.30026631221795,-9.31954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"441",441,126,"pang2005","pang","2005","exp",281,"intensive progressive lower extremity training","http://www.ncbi.nlm.nih.gov/pubmed/16181164","canada","","vancouver",57,57,57,1,133,NA,65.8,9.1,1898,">1year",5.2,1,NA,"27.6","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,2,"6minwt","le","","capacity","","","lohse",0,1,32,328.1,143.5,0,32,392.7,151.1,NA,NA,NA,NA,NA,0.5,64.6,147.3490075,NA,143.5,0.438414897,NA,0.975609756,0.427721851,NA,0.034253244,NA,0.032602731,NA,0.5,1284.54620462046,43.5660418215839,23.2206300666847,27.1940594059406,7.54983443527075,2.78546650791504,4.81045544554456,90.9444224422442,11.5325625946708,5.41538065567853
"443",443,127,"pang2006","pang","2006","exp",283,"circuit based upper extremity training","http://www.ncbi.nlm.nih.gov/pubmed/16401430","canada","","vancouver",57,57,57,1,133,NA,64.9,8.7,1861.5,">1year",5.1,1,NA,"28.1","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,3,"wmft","ue","wmft","","","","lohse",0,0,30,2.9,1.6,0,30,3.1,1.8,NA,NA,NA,NA,NA,0.5,0.2,1.702938637,NA,1.6,0.117444044,NA,0.973913043,0.114380286,NA,0.033563218,NA,0.031834935,NA,0.5,1248.04620462046,43.1451040096092,22.7996922547101,27.1940594059406,7.54983443527075,2.78546650791504,3.91045544554456,90.9444224422442,11.5325625946708,5.41538065567853
"446",446,128,"park2011","park","2011","ctrl",285,"routine physical therapy","http://www.ncbi.nlm.nih.gov/pubmed/21245205","south korea","","daejeon",20,20,20,1,28,NA,56.9,7.79,860.1,">1year",2.356438356,1,NA,">25","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"10mwt","le","","speed","","speed","lohse",0,0,13,0.45,0.19,0,12,0.5,0.23,NA,NA,NA,NA,NA,0.5,0.05,0.210082799,NA,0.19,0.238001398,NA,0.936170213,0.22280982,NA,0.079101718,NA,0.069325906,NA,-0.5,246.646204620462,29.3274615335184,8.98204977861919,-9.80594059405941,4.47213595499958,-0.292231972356128,-4.08954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"447",447,128,"park2011","park","2011","exp",286,"routine PT + community ambulation training","http://www.ncbi.nlm.nih.gov/pubmed/21245205","south korea","","daejeon",32,32,32,1,28,NA,59.4,8.46,843,">1year",2.309589041,1,NA,">25","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"10mwt","le","","speed","","speed","lohse",0,0,14,0.51,0.18,0,13,0.72,0.24,NA,NA,NA,NA,NA,0.5,0.21,0.21094075,NA,0.18,0.995540217,NA,0.941176471,0.936979028,NA,0.106825012,NA,0.094627,NA,0.5,229.546204620462,29.0344622819159,8.68905052701676,2.19405940594059,5.65685424949238,0.892486322136673,-1.58954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"450",450,129,"park2013","park","2013","exp",287,"overground gait training","https://www.jstage.jst.go.jp/article/jpts/25/4/25_2012-353/_pdf","south korea","","daejeon",20,20,20,1,28,NA,51.3,11,495,">1year",1.356164384,1,NA,">23","","","",NA,"4","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"6minwt","le","","capacity","","","lohse",0,0,10,92.5,19.9,0,10,121,26.1,NA,NA,NA,NA,NA,0.5,28.5,23.20797277,NA,19.9,1.22802626,NA,0.914285714,1.122766866,NA,0.175402425,NA,0.146622109,NA,0.5,-118.453795379538,22.248595461287,1.9031837063878,-9.80594059405941,4.47213595499958,-0.292231972356128,-9.68954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"451",451,129,"park2013","park","2013","exp",288,"treadmill gait training","https://www.jstage.jst.go.jp/article/jpts/25/4/25_2012-353/_pdf","south korea","","daejeon",20,20,20,1,28,NA,51.9,8.9,702,">1year",1.923287671,1,NA,">23","","","",NA,"4.2","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"6minwt","le","","capacity","","","lohse",0,0,10,106.5,14.2,0,10,121,26.1,NA,NA,NA,NA,NA,0.5,14.5,21.01011661,NA,14.2,0.690143718,NA,0.914285714,0.630988542,NA,0.123814918,NA,0.103499164,NA,0.5,88.546204620462,26.4952825989835,6.14987084408435,-9.80594059405941,4.47213595499958,-0.292231972356128,-9.08954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"452",452,129,"park2013","park","2013","exp",289,"overground gait training (less impaired group)","https://www.jstage.jst.go.jp/article/jpts/25/4/25_2012-353/_pdf","south korea","","daejeon",20,20,20,1,28,NA,55.4,7.2,441,">1year",1.208219178,1,NA,">23","","","",NA,"4.8","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"6minwt","le","","capacity","","","lohse",0,0,10,298.7,66.6,0,10,329.7,68.1,NA,NA,NA,NA,NA,0.5,31,67.35417582,NA,66.6,0.460253572,NA,0.914285714,0.420803266,NA,0.110591668,NA,0.092445606,NA,0.5,-172.453795379538,21,0.654588245100808,-9.80594059405941,4.47213595499958,-0.292231972356128,-5.58954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
